"Statistic","University League Table 2027"
"Variable","Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate prospects outcomes,Graduate prospects on track,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Continuation,Overall Score"
"Note","For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2026 Complete University Guide Limited. All rights reserved."
""
"Rank","Institution","Entry Standards","Student Satisfaction","Research Quality","Research Intensity","Graduate prospects outcomes","Graduate prospects on track","Student-Staff Ratio","Academic Services Spend","Facilities Spend","Continuation","Overall Score"
"75","Robert Gordon University","150","3.20","2.54","0.17","82.0","83.1","19.0","1502","648","90.9","571"
"76","Liverpool John Moores University","120","3.18","2.82","0.45","69.5","70.7","16.8","1410","495","90.6","568"
"77","Bournemouth University","108","3.03","2.77","0.66","73.1","72.4","18.0","1657","968","90.4","567"
"78","University of Chester","117","3.11","2.50","0.48","74.7","78.9","16.8","2725","788","89.7","565"
"79","St Mary's University, Twickenham","108","3.21","2.72","0.47","72.2","71.3","13.1","1494","983","86.5","564"
"80","University of Worcester","112","3.17","2.32","0.34","81.9","82.3","17.0","2162","602","90.5","560"
"81","Sheffield Hallam University","116","3.03","2.93","0.28","72.5","71.9","17.1","2950","541","91.0","556"
"81","Edinburgh Napier University","149","3.12","2.86","0.45","75.3","76.7","17.1","2685","445","87.3","556"
"83","Liverpool Hope University","113","3.31","2.52","0.62","58.8","70.0","15.4","894","1382","89.8","549"
"83","University of West London","109","3.28","2.67","0.13","62.1","68.1","15.7","2481","840","89.5","549"
"85","University for the Creative Arts","118","3.02","3.06","0.11","56.8","59.1","13.1","4275","222","85.1","547"
"86","Leeds Beckett University","106","3.16","2.68","0.36","68.2","72.4","16.8","1524","902","90.5","546"
"87","Teesside University","112","3.23","2.76","0.32","77.2","76.5","16.1","2327","516","84.7","540"
"88","Kingston University","113","3.17","2.89","0.39","66.4","69.7","17.3","1841","715","92.0","539"
"89","Glasgow Caledonian University","159","3.14","2.95","0.31","76.8","77.7","22.8","2051","251","90.4","536"
"90","University of Lancashire","115","3.21","2.81","0.30","72.6","73.9","15.3","3006","533","86.4","535"
"91","University of South Wales","114","3.18","2.66","0.21","70.5","72.8","15.2","2897","172","86.8","534"
"92","Bath Spa University","100","3.14","2.71","0.46","62.6","70.4","14.6","1837","624","88.8","530"
"92","Canterbury Christ Church University","110","3.13","2.72","0.32","69.2","73.4","14.1","2570","809","84.2","530"
"94","SOAS University of London","120","2.96","3.24","0.57","65.8","65.7","15.9","2573","634","92.2","519"
"95","Birmingham City University","108","3.15","2.70","0.19","68.8","74.8","17.6","2205","374","91.8","518"
"96","University of East London","108","3.30","2.58","0.35","70.7","71.8","22.4","1151","948","91.0","516"
"97","University of Winchester","106","3.10","2.53","0.38","71.5","72.0","17.1","1426","707","92.3","513"
"98","University of Bradford","131","3.06","2.85","0.53","78.7","78.1","18.4","931","469","88.0","511"
"99","University of Gloucestershire","108","3.12","2.43","0.31","73.7","74.8","15.7","1553","541","87.7","510"
"99","University of Wales Trinity Saint David","117","3.34","2.50","0.10","58.1","68.2","16.5","2289","599","88.0","510"
"101","University of Wolverhampton","107","3.19","2.56","0.35","72.2","74.2","18.9","3205","550","88.5","504"
"102","Queen Margaret University, Edinburgh","163","3.15","2.59","0.37","76.1","70.8","20.5","1049","508","89.7","497"
"102","University of Greenwich","106","3.14","2.86","0.51","67.3","70.9","16.9","1598","587","89.0","497"
"104","University of Brighton","110","3.11","3.04","0.40","70.2","68.8","17.0","2144","463","88.1","494"
"105","Abertay University","149","3.21","2.66","0.64","67.5","69.4","22.2","1121","697","86.3","493"
"106","University of Bedfordshire","101","3.19","2.71","0.23","61.7","72.8","15.6","2044","560","85.1","487"
"107","Leeds Arts University","136","3.20","1.74","0.48","52.8","56.4","15.9","1375","515","95.3","485"
"108","York St John University","112","3.18","2.43","0.47","65.1","70.5","19.3","1471","472","91.4","480"
"109","Royal Agricultural University","109","2.90","2.33","0.53","69.7","88.5","19.6","3531","690","87.2","477"
"110","De Montfort University","99","3.12","2.69","0.39","69.6","71.4","18.0","1662","946","87.6","476"
"111","University of Staffordshire","117","3.10","2.78","0.17","68.8","67.8","20.0","1806","748","86.2","475"
"112","London South Bank University","103","3.13","2.78","0.23","68.1","70.5","15.7","2395","393","87.9","473"
