Statistic,University League Table 2016
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Green Score,Overall Score"
Note,For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2020 Complete University Guide Limited. All rights reserved.

Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Green Score,Overall Score
91,Central Lancashire,311,4.04,2.51,0.24,58.6,16.9,1538,486,60.0,81.6,62.1,560
92,Edinburgh Napier,333,4.02,2.52,0.19,61.0,20.4,811,272,71.4,81.1,68.3,555
93,Chester,299,4.13,2.08,0.29,65.3,16.5,1116,427,63.4,80.5,58.8,554
94,Derby,288,4.12,2.07,0.19,54.0,15.4,1143,357,62.7,83.7,46.5,541
95,Abertay,334,3.95,2.16,0.36,60.5,21.4,885,620,70.4,75.6,31.9,536
96,Salford,328,3.93,2.54,0.33,56.0,17.0,1179,460,65.2,79.5,65.1,534
97,Liverpool Hope,302,4.01,2.21,0.53,52.0,19.4,766,909,63.4,82.8,30.0,531
98,Teesside,303,4.09,2.58,0.14,57.0,17.7,1182,427,59.3,80.9,44.4,529
99,York St John,291,4.03,2.04,0.29,64.4,20.6,784,360,65.4,90.3,44.8,528
100,Westminster,309,3.96,2.74,0.29,50.1,19.9,1149,268,68.8,80.4,35.3,525
101,Leeds Trinity,281,4.15,2.01,0.17,65.1,21.7,953,381,68.9,81.8,21.2,519
102,South Wales,319,3.96,2.51,0.16,54.6,19.6,879,446,63.6,81.7,35.0,513
103,Staffordshire,268,4.04,2.20,0.33,54.7,17.0,1195,352,63.2,78.3,42.0,512
104,Kingston,297,3.90,2.70,0.16,53.8,19.4,1110,448,67.4,82.1,34.2,511
105,Worcester,296,3.98,2.08,0.30,60.4,19.1,643,377,61.9,85.8,76.7,509
106,Canterbury Christ Church,270,4.03,2.38,0.23,59.8,18.4,851,331,66.5,82.4,45.9,507
107,Greenwich,309,4.08,2.33,0.25,48.6,19.6,1030,488,62.9,84.6,66.5,505
108,West London,257,4.00,1.92,0.13,67.1,17.3,1209,721,58.8,73.9,41.4,492
109,"St Mary's, Twickenham",287,4.07,1.98,0.23,62.9,20.6,714,304,63.8,83.7,25.2,486
110,Bedfordshire,227,4.04,2.52,0.27,59.3,18.3,1136,497,56.6,80.2,67.1,484
111,Cumbria,292,4.11,2.13,0.08,61.2,22.3,644,328,64.7,85.7,45.8,475
112,Plymouth Marjon,313,4.11,,,63.5,21.2,586,900,58.8,82.6,36.1,470
113,Buckinghamshire New,256,3.88,2.19,0.09,52.8,21.8,564,1434,57.0,82.4,40.3,467
114,Leeds Beckett,284,3.93,2.16,0.24,55.2,20.9,860,438,61.8,78.9,51.4,460
115,Anglia Ruskin,249,4.10,2.37,0.27,58.3,19.0,974,390,58.4,79.2,59.8,453
116,Sunderland,293,4.02,2.12,0.39,50.5,19.7,888,461,49.5,81.6,38.4,440
117,Bishop Grosseteste,282,4.12,1.96,0.17,66.8,28.6,355,278,60.4,90.1,18.0,435
118,West of Scotland,297,3.96,2.36,0.22,57.9,21.1,989,318,63.2,70.0,25.0,430
119,London South Bank,244,3.94,2.52,0.41,48.6,17.2,1120,356,61.0,74.5,66.0,429
120,Newman,291,4.07,2.13,0.20,56.2,18.9,1055,322,56.0,73.4,41.8,425
121,Bolton,282,4.03,2.04,0.20,57.0,17.9,737,322,54.9,71.2,25.5,424
122,Southampton Solent,272,3.91,1.63,0.07,50.0,18.3,865,556,59.9,76.8,41.0,412
123,Wrexham Glyndŵr,243,4.07,2.15,0.16,63.3,23.3,1291,314,53.6,75.8,42.4,407
124,East London,273,4.06,2.71,0.23,49.9,23.6,937,780,53.9,67.5,28.9,406
125,University of Wales Trinity Saint David,263,4.06,2.39,0.12,50.2,22.4,1007,514,51.4,79.4,68.8,405
126,London Metropolitan,220,3.86,2.44,0.15,44.6,19.6,544,324,55.1,75.3,34.6,327
