"Statistic","University League Table "
"Variable","Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate prospects outcomes,Graduate prospects on track,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Continuation,Overall Score"
"Note","For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2024 Complete University Guide Limited. All rights reserved."
""
"Rank","Institution","Entry Standards","Student Satisfaction","Research Quality","Research Intensity","Graduate prospects outcomes","Graduate prospects on track","Student-Staff Ratio","Academic Services Spend","Facilities Spend","Continuation","Overall Score"
"101","York St John University","119","3.14","2.43","0.47","73.8","74.5","17.7","1692","509","91.4","564"
"102","Solent University (Southampton)","120","3.13","2.16","0.25","65.5","72.3","15.3","1688","610","90.1","559"
"103","University of Winchester","122","3.03","2.53","0.38","72.3","75.3","18.1","1267","507","92.3","553"
"104","Bath Spa University","121","3.04","2.71","0.46","66.3","68.8","19.6","1360","436","94.0","546"
"105","De Montfort University","113","3.02","2.69","0.39","71.3","73.5","18.3","1506","917","89.0","541"
"106","Buckinghamshire New University","109","3.23","2.25","0.13","67.2","72.4","16.7","2331","1081","85.5","540"
"106","University of Bradford","132","3.00","2.85","0.53","78.9","79.8","20.1","901","434","90.7","540"
"108","University of Bolton","120","3.17","1.89","0.20","72.4","72.2","15.1","1934","709","86.0","536"
"109","Canterbury Christ Church University","114","3.03","2.72","0.32","74.1","74.6","16.2","1888","648","87.2","535"
"110","University of Greenwich","122","3.08","2.86","0.51","73.2","73.8","20.9","1090","579","90.0","532"
"111","University of Wolverhampton","113","3.12","2.56","0.35","72.0","73.1","15.6","2509","366","85.8","531"
"111","Leeds Arts University","148","3.14","1.74","0.48","60.0","65.2","16.5","861","308","97.1","531"
"113","Middlesex University","113","3.13","2.78","0.45","72.4","71.8","15.8","2672","400","81.6","524"
"114","London South Bank University","115","3.03","2.78","0.23","70.5","73.1","17.1","2081","340","89.4","522"
"115","Plymouth Marjon University","120","3.24","2.49","0.29","72.9","76.1","16.9","638","90","87.2","517"
"116","Leeds Trinity University","113","3.01","2.11","0.37","72.5","77.7","18.1","1633","511","89.9","515"
"117","University of Wales Trinity Saint David","141","3.23","2.50","0.10","62.6","68.8","20.3","1440","505","87.8","508"
"118","University of Westminster, London","116","3.04","3.00","0.47","63.2","65.3","19.6","1655","593","89.9","500"
"119","Royal Agricultural University","125","2.79","2.33","0.53","64.7","75.8","21.3","2668","566","95.9","493"
"120","University of Northampton","115","3.04","2.22","0.24","69.4","75.5","17.4","1690","480","88.6","488"
"121","Anglia Ruskin University","113","3.01","2.81","0.24","67.7","73.7","18.8","1518","519","87.0","482"
"122","Bishop Grosseteste University","107","3.30","1.92","0.39","74.2","80.8","17.6","1325","820","87.2","481"
"123","University of Cumbria","121","2.90","2.30","0.25","71.6","77.1","18.1","1133","265","89.0","461"
"124","Birmingham Newman University","115","3.31","2.03","0.43","62.2","72.5","16.7","1682","359","87.3","459"
"125","University of East London","115","3.19","2.58","0.35","62.0","69.6","25.0","1009","644","90.6","449"
"126","University of Buckingham","130","2.99","","","84.3","75.0","16.4","1436","531","91.5","439"
"127","London Metropolitan University","100","3.20","2.63","0.20","63.7","67.7","19.3","2044","835","83.0","426"
"128","University of the West of Scotland","141","3.07","2.48","0.45","71.3","73.5","22.4","1709","381","85.1","422"
"129","University of Bedfordshire","112","3.06","2.71","0.23","65.9","70.4","22.7","1218","450","83.7","417"
"130","Wrexham University","115","3.26","2.19","0.32","60.5","71.0","22.4","1290","530","77.3","324"
