Statistic,University League Table 2019
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score"
Note,For latest league table please refer to https://www.thecompleteuniversityguide.co.uk/league-tables/rankings. © 2020 Complete University Guide Limited. All rights reserved.

Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Research Intensity,Graduate Prospects,Student-Staff Ratio,Academic Services Spend,Facilities Spend,Good Honours,Degree Completion,Overall Score
98,Chester,114,4.09,2.08,0.29,69.5,15.3,1728,878,65.8,82.6,515
99,Sunderland,120,4.00,2.12,0.39,67.8,15.6,1577,674,66.7,78.2,513
99,Abertay,155,4.03,2.16,0.36,66.1,18.5,1147,812,70.4,74.9,513
101,Edinburgh Napier,146,3.94,2.52,0.19,65.5,18.8,1305,362,74.7,81.6,510
102,Central Lancashire,129,4.02,2.51,0.24,69.9,16.4,1408,458,70.4,78.9,509
103,Bath Spa,122,4.00,2.52,0.30,64.1,19.9,1255,362,74.6,85.2,507
104,"St Mary's, Twickenham",119,4.08,1.98,0.23,73.8,15.7,962,587,72.2,79.9,502
105,Middlesex,119,4.00,2.58,0.35,59.0,16.6,2656,424,67.4,72.8,501
106,Brighton,117,4.00,2.84,0.21,68.4,18.2,974,483,69.3,85.5,494
107,South Wales,129,3.97,2.51,0.16,62.1,15.1,1309,536,67.4,79.2,484
108,Leeds Trinity,100,4.15,2.01,0.17,68.0,19.5,1371,430,78.6,83.4,482
109,East London,112,4.08,2.71,0.23,61.3,17.0,1623,789,63.9,73.3,476
110,Worcester,119,4.08,2.08,0.30,65.7,16.7,862,598,65.6,85.0,473
111,Canterbury Christ Church,108,3.98,2.38,0.23,63.7,15.2,1376,412,70.7,79.6,471
112,Solent,116,4.03,1.63,0.07,63.1,15.7,1391,733,71.3,78.7,468
113,Northampton,107,4.00,2.09,0.25,62.8,18.7,1696,1018,68.8,82.9,467
114,West of Scotland,138,4.00,2.36,0.22,71.7,22.1,1462,382,70.3,80.8,464
115,University of Wales Trinity Saint David,113,4.12,2.39,0.12,52.7,15.0,1124,772,69.0,78.2,458
116,Anglia Ruskin,105,4.10,2.37,0.27,67.6,18.2,1066,424,71.3,79.1,439
117,Royal Agricultural University,122,3.98,1.40,0.26,63.8,21.6,1773,807,65.8,95.1,432
118,Bedfordshire,95,4.01,2.52,0.27,67.8,17.6,1588,596,63.5,72.8,422
119,Newman,119,3.97,2.13,0.20,62.3,16.0,1245,357,65.3,77.8,414
120,Bishop Grosseteste,110,4.02,1.96,0.17,69.8,22.0,858,717,66.4,91.6,411
121,Leeds Beckett,114,4.01,2.16,0.24,62.8,19.4,1139,505,65.9,76.0,400
122,Buckinghamshire New,111,3.97,2.19,0.09,62.1,16.0,1926,429,56.6,76.2,383
123,Cumbria,118,3.87,2.13,0.08,68.0,16.7,1108,508,61.1,83.6,381
123,York St John,113,4.04,2.04,0.29,55.0,17.4,1179,627,64.7,84.5,381
125,"Birkbeck, University of London",94,3.95,2.97,0.81,72.4,15.8,947,101,57.2,64.2,379
126,Bolton,112,4.09,2.04,0.20,64.2,14.7,866,428,59.4,68.9,368
127,Wrexham Glyndŵr,101,4.06,2.15,0.16,62.3,19.2,1238,491,66.6,71.1,357
128,Suffolk,118,3.96,,,65.5,17.6,1814,476,66.2,69.5,354
129,Wolverhampton,108,4.01,2.31,0.31,65.6,20.0,1493,291,64.0,70.4,348
130,Plymouth Marjon,125,4.08,,,59.9,22.7,817,1094,65.5,84.1,336
131,London Metropolitan,101,4.00,2.44,0.15,63.7,20.4,1007,941,52.3,68.7,309
