entry_tariff,satisfaction,staff_ratio,career_prospects,continuation,research_quality,rank_lag1,satisfaction_lag1,staff_ratio_lag1,career_lag1,rank_change,satisfaction_change,staff_ratio_change,career_change,rank_3yr_avg,satisfaction_3yr_avg,rank,volatility_label,university,year
101,3.92,16.7,70.2,58.5,2.52,122.0,3.92,17.0,70.2,1.0,0.0,-0.3000000000000007,0.0,121.0,3.92,123,stable,Bedfordshire,2021
94,3.95,15.8,72.4,64.2,2.97,116.0,3.95,16.0,70.5,9.0,0.0,-0.1999999999999993,1.9000000000000057,120.5,3.95,125,falling,"Birkbeck, University of London",2019
425,4.0,15.5,84.0,94.7,3.07,17.0,4.0,14.5,80.3,1.0,0.0,1.0,3.700000000000003,17.5,4.0,18,stable,Birmingham,2016
423,4.0,14.0,86.5,94.8,3.07,18.0,4.0,15.5,84.0,-3.0,0.0,-1.5,2.5,16.666666666666668,4.0,15,stable,Birmingham,2017
421,4.0,14.1,85.4,94.4,3.07,15.0,4.0,14.0,86.5,1.0,0.0,0.09999999999999964,-1.0999999999999943,16.333333333333332,4.0,16,stable,Birmingham,2018
164,4.0,14.8,85.9,94.6,3.07,16.0,4.0,14.1,85.4,-1.0,0.0,0.7000000000000011,0.5,15.333333333333334,4.0,15,stable,Birmingham,2019
163,4.0,13.9,85.3,94.9,3.07,15.0,4.0,14.8,85.9,-2.0,0.0,-0.9000000000000004,-0.6000000000000085,14.666666666666666,4.0,13,stable,Birmingham,2020
159,4.0,14.1,85.3,94.5,3.07,13.0,4.0,13.9,85.3,0.0,0.0,0.1999999999999993,0.0,13.666666666666666,4.0,13,stable,Birmingham,2021
298,3.975,20.4,62.4,84.5,2.64,82.0,3.99,21.2,61.8,6.0,-0.015000000000000124,-0.8000000000000007,0.6000000000000014,85.0,3.9825,88,stable,Birmingham City,2016
316,3.96,19.1,64.3,86.5,2.64,88.0,3.975,20.4,62.4,7.0,-0.015000000000000124,-1.2999999999999972,1.8999999999999986,88.33333333333333,3.975,95,stable,Birmingham City,2017
312,3.975,18.7,68.7,81.2,2.64,95.0,3.96,19.1,64.3,4.0,0.015000000000000124,-0.40000000000000213,4.400000000000006,94.0,3.97,99,stable,Birmingham City,2018
128,3.975,18.1,70.0,83.6,2.64,99.0,3.975,18.7,68.7,-2.0,0.0,-0.5999999999999979,1.2999999999999972,97.0,3.97,97,stable,Birmingham City,2019
